訂單號,訂單日期,顧客姓名,訂單等級,訂單數量,銷售額,折扣點,運輸方式,利潤額,單價,運輸成本,區域,省份,城市,產品類別,產品子類別,產品名稱,產品包箱,運送日期,,
8515,2010/12/21,田俊霞,中級,33,729.92,0,火車,99.31,20.95,4,華北,河北,唐山,技術產品,電腦配件,"Fellowes Basic 104-Key Keyboard, Platinum",小型箱子,2010/12/22,,
8545,2009/6/17,謝子揚,低級,25,113.75,0,火車,-77.34,4.13,5.34,華北,內蒙古,包頭,辦公用品,夾子及其配件,ACCOHIDE® Binder by Acco,小型箱子,2009/6/21,,
8545,2009/6/17,謝子揚,低級,24,3081.95,0.1,大卡,-662.80,130.98,54.74,華北,內蒙古,包頭,傢俱產品,書架,"O'Sullivan Elevations Bookcase, Cherry Finish",巨型紙箱,2009/6/21,,
8546,2012/4/1,張弛,高級,4,51.94,0.03,空運,-12.48,10.01,1.99,華北,內蒙古,包頭,技術產品,電腦配件,TDK 4.7GB DVD-R,小型包裹,2012/4/3,,
8551,2009/7/29,王海燕,中級,25,185.64,0.1,火車,-69.87,7.45,6.28,東北,吉林,吉林,辦公用品,夾子及其配件,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",小型箱子,2009/8/1,,
8551,2009/7/29,王海燕,中級,34,225.98,0.01,火車,-135.74,6.48,7.86,東北,吉林,吉林,辦公用品,紙張,Xerox 213,小型箱子,2009/7/31,,
8576,2009/1/9,胡磊華,高級,43,541.45,0,空運,-164.25,11.66,8.99,東北,吉林,吉林,辦公用品,筆、美術用品,Boston 16765 Mini Stand Up Battery Pencil Sharpener,小型包裹,2009/1/11,,
8578,2011/9/2,閆玉紅,高級,40,366.87,0.1,火車,-1.79,9.74,5.71,東北,遼寧,撫順,傢俱產品,辦公裝飾品,"Staples 10"" Round Wall Clock",小型箱子,2011/9/3,,
8580,2011/3/22,李聰,高級,12,151.49,0,火車,-3.95,11.58,6.97,東北,遼寧,撫順,辦公用品,信封,"Peel & Seel® Recycled Catalog Envelopes, Brown",小型箱子,2011/3/22,,
8580,2011/3/22,李聰,高級,37,308.22,0,火車,-215.57,7.77,9.23,東北,黑龍江,雞西,辦公用品,家用電器,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,小型箱子,2011/3/23,,
8582,2010/11/20,唐晨,低級,15,1556.55,0.04,火車,436.02,105.34,24.49,東北,黑龍江,雞西,傢俱產品,辦公裝飾品,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,大型箱子,2010/11/20,,
8609,2012/4/14,侯麗,中級,4,72.0035,0.04,火車,-108.08,20.99,2.5,東北,黑龍江,雞西,技術產品,電話通信產品,Accessory37,打包紙袋,2012/4/15,,
8614,2009/6/4,王然,低級,13,1289.127,0.06,火車,-16.34,115.99,5.92,西南,四川,達州,技術產品,電話通信產品,8890,小型箱子,2009/6/6,,
8642,2010/1/16,陳鴻建,高級,26,151.05,0.09,火車,-76.14,5.8,5.59,華南,廣西,桂林,辦公用品,夾子及其配件,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,小型箱子,2010/1/17,,
8642,2010/1/16,陳鴻建,高級,13,133.04,0.04,火車,49.69,10.35,0.99,華南,廣西,桂林,辦公用品,標籤,Avery 503,小型箱子,2010/1/17,,
8646,2009/4/9,李小青,高級,8,85.85,0.03,火車,-327.65,4.48,49,華南,廣西,桂林,辦公用品,家用電器,Hoover Portapower™ Portable Vacuum,大型箱子,2009/4/11,,
8646,2009/4/9,李小青,高級,41,14377.78,0.06,大卡,4161.98,350.99,39,華南,廣西,桂林,傢俱產品,椅子,Global Leather Executive Chair,巨型木箱,2009/4/11,,
8646,2009/4/9,李小青,高級,26,994.27,0.09,空運,-127.11,40.98,6.5,華東,福建,廈門,技術產品,電腦配件,Targus USB Numeric Keypad,小型箱子,2009/4/11,,
8646,2009/4/9,李小青,高級,29,9558.65,0.09,大卡,2154.07,349.45,60,華北,北京,北京,傢俱產品,桌子,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",巨型木箱,2009/4/10,,
8677,2012/10/7,王晨,高級,38,1610.76,0.1,火車,-8.67,43.57,16.36,華北,北京,北京,辦公用品,容器，箱子,"Trav-L-File Heavy-Duty Shuttle II, Black",小型箱子,2012/10/9,,
8678,2012/9/30,王忠敏,低級,31,937.8,0,火車,27.12,29.74,6.64,西北,寧夏,銀川,辦公用品,容器，箱子,Acco Perma® 2700 Stacking Storage Drawers,小型箱子,2012/10/5,,
8679,2012/5/6,董先生,中級,46,446.06,0.01,火車,161.32,9.11,2.15,華東,山東,萊蕪,辦公用品,紙張,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",打包紙袋,2012/5/7,,
8704,2011/6/30,肖海峰,中級,43,449.17,0.01,火車,198.83,9.93,1.09,華東,浙江,溫州,辦公用品,筆、美術用品,Peel-Off® China Markers,打包紙袋,2011/7/1,,
8704,2011/6/30,肖海峰,中級,38,79.81,0.08,火車,5.48,2.21,1,華東,浙江,溫州,辦公用品,筆、美術用品,"Quartet Alpha® White Chalk, 12/Pack",打包紙袋,2011/7/1,,
8709,2009/3/8,朱偉,高級,50,2451.41,0.07,火車,773.36,51.98,10.17,華東,山東,萊蕪,技術產品,辦公機器,Canon MP25DIII Desktop Whisper-Quiet Printing Calculator,中型箱子,2009/3/10,,
8709,2009/3/8,朱偉,高級,11,851.24,0.1,大卡,-149.46,80.97,33.6,華東,浙江,溫州,技術產品,辦公機器,Lexmark Z25 Color Inkjet Printer,巨型木箱,2009/3/11,,
8710,2009/1/4,李丹,中級,17,63.34,0.03,火車,-76.02,3.36,6.27,華東,浙江,溫州,辦公用品,夾子及其配件,Cardinal Poly Pocket Divider Pockets for Ring Binders,小型箱子,2009/1/5,,
8710,2009/1/4,李丹,中級,42,151.35,0.07,空運,8.33,3.71,1.93,華東,山東,萊蕪,辦公用品,紙張,"""While you Were Out"" Message Book, One Form per Page",打包紙袋,2009/1/6,,
8768,2011/8/18,丁向暉,高級,44,2422.4405,0.03,火車,568.18,65.99,5.31,華東,浙江,溫州,技術產品,電話通信產品,3390,小型箱子,2011/8/19,,
8773,2011/10/22,李雲峰,中級,5,220.7875,0.09,火車,-305.32,55.99,5,華東,浙江,溫州,技術產品,電話通信產品,Accessory36,小型包裹,2011/10/22,,
8801,2012/8/10,陳平,低級,32,2593.08,0,空運,-673.31,79.52,48.2,華東,安徽,蚌埠,傢俱產品,辦公裝飾品,Eldon Cleatmat Plus™ Chair Mats for High Pile Carpets,中型箱子,2012/8/15,,
8801,2012/8/10,陳平,低級,25,2529.396,0.06,空運,371.21,125.99,3,華東,江西,南昌,技術產品,電話通信產品,270c,小型箱子,2012/8/12,,
8802,2011/1/31,吳向鵬,中級,15,1866.12,0.07,火車,400.69,123.38,24.49,華東,福建,廈門,辦公用品,家用電器,Honeywell Enviracaire® Portable HEPA Air Cleaner for up to 10 x 16 Room,大型箱子,2011/2/2,,
8803,2012/12/20,張穎,其它,6,1184.11,0.07,火車,-145.07,193.17,19.99,華東,Jiangsu,南京,辦公用品,容器，箱子,Fellowes Staxonsteel® Drawer Files,小型箱子,2012/12/21,,
8803,2012/12/20,張穎,其它,17,514.22,0.02,火車,187.37,30.56,2.99,華南,廣東,佛山,辦公用品,夾子及其配件,Surelock™ Post Binders,小型箱子,2012/12/23,,
8807,2010/2/25,俞龍麗,低級,19,428.14,0.04,火車,-6.04,22.84,11.54,華南,廣東,佛山,辦公用品,紙張,Xerox 1964,小型箱子,2010/2/27,,
8807,2010/2/25,俞龍麗,低級,14,1379.3375,0.08,火車,-78.54,125.99,4.2,華南,河南,駐馬店,技術產品,電話通信產品,i1000plus,小型箱子,2010/3/4,,
8832,2012/2/2,包婧,低級,39,647.81,0.1,火車,8.65,17.67,8.99,華南,廣東,佛山,傢俱產品,辦公裝飾品,"Executive Impressions 12"" Wall Clock",小型包裹,2012/2/6,,
8833,2012/5/4,張阿蘭,低級,40,3338.98,0,火車,-846.73,80.98,35,華南,廣東,佛山,辦公用品,容器，箱子,Carina Double Wide Media Storage Towers in Natural & Black,大型箱子,2012/5/8,,
8834,2010/11/8,張靜,高級,45,6688.11,0.08,火車,2872.88,150.98,13.99,華南,湖北,十堰,技術產品,辦公機器,Canon MP41DH Printing Calculator,中型箱子,2010/11/9,,
8834,2010/11/8,張靜,高級,1,16.73,0.08,火車,-6.96,12.64,4.98,華南,廣東,佛山,傢俱產品,辦公裝飾品,Nu-Dell Executive Frame,小型包裹,2010/11/9,,
8835,2009/10/13,張鵬華,中級,12,153.44,0.05,火車,-6.15,12.2,6.02,華東,上海,上海,傢俱產品,辦公裝飾品,Advantus Panel Wall Certificate Holder - 8.5x11,小型包裹,2009/10/14,,
8868,2009/1/28,邱偉,低級,3,190.45,0.02,火車,-44.05,59.98,3.99,華南,海南,海口,辦公用品,家用電器,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,小型箱子,2009/2/6,,
8868,2009/1/28,邱偉,低級,34,179.99,0.03,火車,-102.27,5.18,5.74,華北,北京,北京,辦公用品,夾子及其配件,Wilson Jones Impact Binders,小型箱子,2009/2/1,,
8870,2010/3/5,崔晨,其它,15,441.58,0.07,火車,117.39,30.98,5.09,華北,內蒙古,包頭,辦公用品,紙張,Xerox 19,小型箱子,2010/3/6,,
8901,2011/8/20,李大智,低級,15,168.9,0.09,空運,-16.19,9.99,6.24,東北,黑龍江,雞西,技術產品,辦公機器,Canon F603 Scientific Calculator,中型箱子,2011/8/27,,
8902,2011/6/19,魏江亭,高級,27,180.46,0.05,火車,-57.62,6.48,5.94,東北,黑龍江,鶴崗,辦公用品,紙張,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",小型箱子,2011/6/21,,
8930,2009/5/19,何畢,中級,14,145.86,0.04,火車,-92.32,9.99,11.59,華南,海南,海口,辦公用品,紙張,Hammermill Color Copier Paper (28Lb. and 96 Bright),小型箱子,2009/5/21,,
8933,2010/10/7,王曉,高級,37,1520.26,0.04,火車,640.84,42.8,2.99,華南,廣西,桂林,辦公用品,夾子及其配件,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",小型箱子,2010/10/8,,
8933,2010/10/7,王曉,高級,30,688.02,0.06,火車,154.99,22.98,7.58,華南,廣西,桂林,傢俱產品,辦公裝飾品,"Seth Thomas 12"" Clock w/ Goldtone Case",小型箱子,2010/10/9,,
8960,2010/6/5,邱麗敏,中級,46,4335.34,0.07,空運,524.09,99.99,19.99,西北,甘肅,嘉峪關,技術產品,電腦配件,US Robotics 56K V.92 External Faxmodem,小型箱子,2010/6/7,,
8960,2010/6/5,邱麗敏,中級,15,1150.5345,0.01,火車,361.65,85.99,1.25,華東,浙江,溫州,技術產品,電話通信產品,Accessory8,小型包裹,2010/6/7,,
8961,2011/6/28,陳平東,低級,48,4644.87,0.08,大卡,-1291.39,100.8,60,華南,廣東,佛山,傢俱產品,桌子,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",巨型木箱,2011/7/3,,
8961,2011/6/28,陳平東,低級,15,627.69,0,火車,-12.02,39.98,4,華北,北京,北京,技術產品,電腦配件,Microsoft Natural Keyboard Elite,小型箱子,2011/7/3,,
8992,2010/11/12,趙和,高級,3,441.43,0.06,火車,-154.45,140.81,24.49,華南,廣東,佛山,傢俱產品,椅子,Hon Olson Stacker Stools,大型箱子,2010/11/13,,
8992,2010/11/12,趙和,高級,14,2145.6975,0.08,火車,-176.79,195.99,4.2,東北,遼寧,撫順,技術產品,電話通信產品,688,小型箱子,2010/11/14,,
8992,2010/11/12,趙和,高級,18,1341.963,0,火車,180.78,85.99,2.79,華南,廣西,桂林,技術產品,電話通信產品,6340,小型箱子,2010/11/13,,
8993,2011/5/28,高亮,中級,41,172.15,0.02,空運,86.78,3.69,0.5,華北,北京,北京,辦公用品,標籤,Avery 52,小型箱子,2011/5/30,,
8994,2009/4/7,邱威微,低級,36,1423.35,0.1,火車,-580.32,40.48,19.99,華東,安徽,蚌埠,技術產品,電腦配件,Keytronic Designer 104- Key Black Keyboard,小型箱子,2009/4/9,,
8995,2011/5/17,呂則強,高級,5,24.16,0.08,空運,8.05,1.88,1.49,華南,廣東,佛山,辦公用品,夾子及其配件,Staples® General Use 3-Ring Binders,小型箱子,2011/5/18,,
8995,2011/5/17,呂則強,高級,41,270.84,0.1,空運,-78.02,6.48,5.86,華北,山西,陽泉,辦公用品,紙張,Xerox 1904,小型箱子,2011/5/18,,
8995,2011/5/17,呂則強,高級,35,3389.93,0.08,空運,737.94,102.3,21.26,華北,山西,陽泉,傢俱產品,辦公裝飾品,Luxo Professional Combination Clamp-On Lamps,大型箱子,2011/5/18,,
8995,2011/5/17,呂則強,高級,42,266.36,0.07,火車,-191.28,6.48,8.19,東北,吉林,吉林,辦公用品,紙張,Xerox 217,小型箱子,2011/5/18,,
8995,2011/5/17,呂則強,高級,46,89.41,0.01,火車,-21.49,1.89,0.76,東北,遼寧,撫順,辦公用品,橡皮筋,Revere Boxed Rubber Bands by Revere,打包紙袋,2011/5/19,,
8996,2011/6/2,王國宇,低級,13,772.2675,0.02,火車,-48.85,65.99,8.99,東北,吉林,吉林,技術產品,電話通信產品,SC-3160,小型箱子,2011/6/6,,
8997,2009/7/1,王仲奇,低級,40,17279.62,0.04,火車,4176.25,449.99,24.49,東北,遼寧,撫順,技術產品,影印機、傳真機,Canon PC940 Copier,大型箱子,2009/7/5,,
8997,2009/7/1,王仲奇,低級,20,120.3,0.01,火車,20.38,5.84,1.2,東北,遼寧,撫順,辦公用品,筆、美術用品,Newell 312,打包紙袋,2009/7/10,,
8998,2010/1/3,周文龍,低級,37,1767.88,0.07,火車,66.47,50.98,13.66,東北,遼寧,撫順,辦公用品,家用電器,Eureka The Boss® Cordless Rechargeable Stick Vac,小型箱子,2010/1/7,,
8998,2010/1/3,周文龍,低級,12,277.42,0.01,火車,49.82,22.24,1.99,東北,黑龍江,鶴崗,技術產品,電腦配件,"Verbatim DVD-R, 3.95GB, SR, Mitsubishi Branded, Jewel",小型包裹,2010/1/5,,
8998,2010/1/3,周文龍,低級,13,178.13,0.04,火車,-19.75,13.43,5.5,西南,四川,達州,辦公用品,容器，箱子,"Fellowes Personal Hanging Folder Files, Navy",小型箱子,2010/1/8,,
8999,2009/6/12,張標,高級,28,1676.48,0,火車,590.35,55.48,14.3,西南,貴州,貴陽,辦公用品,紙張,Xerox 194,小型箱子,2009/6/14,,
9024,2012/6/2,餘勇進,中級,2,12.12,0.03,火車,-4.55,5.43,0.95,西南,四川,自貢,辦公用品,紙張,"Wirebound Message Book, 4 per Page",打包紙袋,2012/6/3,,
9024,2012/6/2,餘勇進,中級,44,2318.2135,0.07,火車,583.75,65.99,2.79,西南,重慶,重慶,技術產品,電話通信產品,V8162,小型箱子,2012/6/2,,
9024,2012/6/2,餘勇進,中級,30,1136.44,0.09,火車,-9.30,40.98,6.5,華南,廣西,桂林,技術產品,電腦配件,Microsoft Office Keyboard,小型箱子,2012/6/4,,
9027,2011/9/2,胡張坤,低級,30,932.892,0.05,火車,458.98,35.99,0.99,華南,河南,駐馬店,技術產品,電話通信產品,Accessory31,小型包裹,2011/9/11,,
9028,2010/12/21,王英,低級,48,14556.67,0.04,大卡,3829.63,306.14,26.53,華南,河南,駐馬店,技術產品,辦公機器,Okidata ML184 Turbo Dot Matrix Printers,巨型木箱,2010/12/25,,
9057,2009/11/4,李軍鋒,中級,20,160.29,0.01,火車,1.35,7.59,4,華南,廣西,桂林,傢俱產品,辦公裝飾品,"Master Giant Foot® Doorstop, Safety Yellow",打包紙袋,2009/11/4,,
9062,2011/3/20,趙麗,高級,32,119.2,0.06,火車,30.61,3.93,0.99,華南,海南,海口,辦公用品,橡皮筋,Staples Vinyl Coated Paper Clips,打包紙袋,2011/3/21,,
9062,2011/3/20,趙麗,高級,19,1825.42,0.06,火車,1193.19,99.23,8.99,華北,天津,天津,傢俱產品,辦公裝飾品,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",小型包裹,2011/3/23,,
9088,2009/6/22,喬輝,中級,50,15383.7,0.03,火車,6523.26,304.99,19.99,華北,北京,北京,辦公用品,夾子及其配件,Ibico Hi-Tech Manual Binding System,小型箱子,2009/6/24,,
9088,2009/6/22,喬輝,中級,31,1637.457,0.09,火車,118.15,65.99,8.99,華北,天津,天津,技術產品,電話通信產品,V 3600 Series,小型箱子,2009/6/24,,
9089,2010/5/23,肖澤泉,中級,8,822.3495,0.1,空運,-360.31,125.99,8.8,華北,北京,北京,技術產品,電話通信產品,StarTAC 6500,小型箱子,2010/5/24,,
9091,2010/11/11,趙子武,高級,42,605.77,0.05,火車,129.33,14.34,5,西北,甘肅,嘉峪關,傢俱產品,辦公裝飾品,Nu-Dell Leatherette Frames,小型包裹,2010/11/12,,
9091,2010/11/11,趙子武,高級,44,1480.91,0,火車,489.14,30.98,8.74,西北,甘肅,嘉峪關,辦公用品,紙張,Xerox 1979,小型箱子,2010/11/12,,
9092,2009/7/24,張勝,其它,33,3644.24,0,空運,-457.73,101.41,35,西北,甘肅,嘉峪關,辦公用品,容器，箱子,Tennsco Regal Shelving Units,大型箱子,2009/7/25,,
9092,2009/7/24,張勝,其它,8,599.2075,0.1,火車,-268.66,95.99,4.9,西北,甘肅,嘉峪關,技術產品,電話通信產品,T60,小型箱子,2009/7/25,,
9093,2011/12/9,胡敏敏,中級,36,268.55,0.1,火車,-99.02,8.12,2.83,西北,陝西,銅川,技術產品,電腦配件,"Imation Neon Mac Format Diskettes, 10/Pack",小型包裹,2011/12/9,,
9095,2011/6/10,薑贇,高級,23,294.91,0.03,火車,-37.27,12.44,6.27,西北,甘肅,嘉峪關,辦公用品,容器，箱子,Eldon Simplefile® Box Office®,中型箱子,2011/6/12,,
9123,2010/6/26,田鳳琴,中級,27,384.9,0.07,空運,-108.28,14.03,9.37,華東,浙江,溫州,辦公用品,容器，箱子,Project Tote Personal File,小型箱子,2010/6/27,,
9124,2011/10/16,陳岩,低級,17,2637.78,0.04,火車,-0.84,152.48,6.5,華東,山東,萊蕪,技術產品,電腦配件,Adesso Programmable 142-Key Keyboard,小型箱子,2011/10/16,,
9124,2011/10/16,陳岩,低級,29,157.4,0.01,火車,-118.56,4.98,7.28,華東,浙江,溫州,辦公用品,紙張,Xerox 1926,小型箱子,2011/10/21,,
9126,2009/11/17,張子良,中級,47,2799.7,0.04,火車,884.08,62.05,3.99,華東,浙江,溫州,辦公用品,家用電器,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",小型箱子,2009/11/18,,
9127,2011/10/10,孫牡丹,其它,7,2039.56,0.04,空運,-329.49,279.48,35,華東,上海,上海,辦公用品,容器，箱子,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",大型箱子,2011/10/12,,
9152,2010/8/20,許磊,其它,43,292.808,0.05,火車,-129.69,7.99,5.03,華東,安徽,蚌埠,技術產品,電話通信產品,Bell Sonecor JB700 Caller ID,中型箱子,2010/8/20,,
9155,2012/8/30,張靜,中級,17,518.8,0.1,火車,54.63,30.98,11.63,華東,上海,上海,辦公用品,夾子及其配件,GBC Linen Binding Covers,小型箱子,2012/8/31,,
9187,2009/8/21,高雲浩,高級,40,174.64,0.04,火車,-143.23,4.37,5.15,華東,安徽,蚌埠,辦公用品,家用電器,"Eureka Sanitaire ® Multi-Pro Heavy-Duty Upright, Disposable Bags",小型箱子,2009/8/22,,
9187,2009/8/21,高雲浩,高級,8,994.228,0.09,火車,-446.58,155.99,8.99,華南,湖南,長沙,技術產品,電話通信產品,CF 688,小型箱子,2009/8/23,,
9216,2011/4/14,胡張坤,中級,36,5977.63,0.1,大卡,-86.68,180.98,55.24,華南,廣東,佛山,辦公用品,家用電器,Avanti 4.4 Cu. Ft. Refrigerator,巨型木箱,2011/4/16,,
9219,2009/9/28,胡燕生,低級,24,1239.81,0.04,火車,-13.28,50.98,6.5,華南,廣東,佛山,技術產品,電腦配件,Microsoft Natural Multimedia Keyboard,小型箱子,2009/10/3,,
9219,2009/9/28,胡燕生,低級,41,273.32,0.02,火車,-48.68,6.48,5.14,華北,內蒙古,包頭,辦公用品,紙張,Xerox 23,小型箱子,2009/9/30,,
9221,2011/1/3,邱車明,低級,9,79.64,0.03,火車,-377.74,3.25,49,東北,遼寧,撫順,辦公用品,家用電器,"Bravo II™ Megaboss® 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",大型箱子,2011/1/7,,
9221,2011/1/3,邱車明,低級,25,1527.42,0.04,火車,326.40,60.98,19.99,東北,黑龍江,鶴崗,辦公用品,信封,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",小型箱子,2011/1/7,,
9222,2009/2/10,鄧鵬,高級,41,473.67,0.04,火車,78.20,11.34,5.01,華東,山東,萊蕪,辦公用品,紙張,Xerox 188,小型箱子,2009/2/11,,
9248,2009/12/23,喬輝,其它,41,2811.7,0.09,火車,-3074.27,71.37,69,華南,廣東,佛山,傢俱產品,桌子,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",大型箱子,2009/12/24,,
9249,2010/5/19,胡雲格,高級,46,176.5,0.01,火車,-119.35,3.57,4.17,華南,海南,海口,辦公用品,筆、美術用品,Barrel Sharpener,小型包裹,2010/5/20,,
9249,2010/5/19,胡雲格,高級,42,1546.8,0.07,火車,25.51,37.76,12.9,華南,廣西,桂林,辦公用品,容器，箱子,"Companion Letter/Legal File, Black",小型箱子,2010/5/20,,
9249,2010/5/19,胡雲格,高級,35,3457.56,0.02,大卡,-365.44,124.49,51.94,西北,寧夏,銀川,傢俱產品,桌子,Bevis 36 x 72 Conference Tables,巨型紙箱,2010/5/21,,
9251,2010/8/29,包婧,中級,38,3632.6,0,大卡,-400.33,89.99,42,東北,遼寧,撫順,傢俱產品,椅子,"Global Leather Task Chair, Black",巨型木箱,2010/8/31,,
9253,2012/1/30,高雲浩,中級,36,1644.22,0.05,火車,563.09,46.94,6.77,東北,吉林,吉林,傢俱產品,辦公裝飾品,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",小型箱子,2012/2/1,,
9254,2010/5/14,胡燕生,中級,24,131.65,0.01,空運,67.41,4.91,0.5,華南,廣西,桂林,辦公用品,標籤,Avery 478,小型箱子,2010/5/16,,
9281,2012/2/23,胡羽,中級,31,199.8,0.08,空運,-96.59,6.48,6.81,華南,廣西,桂林,辦公用品,紙張,Xerox 1930,小型箱子,2012/2/25,,
9281,2012/2/23,胡羽,中級,24,68.97,0.02,火車,0.77,2.78,0.97,華北,天津,天津,辦公用品,筆、美術用品,Newell 339,打包紙袋,2012/2/25,,
9285,2009/1/2,唐麗麗,中級,3,124.81,0.06,火車,-11.94,40.98,2.99,西北,新疆,烏魯木齊,辦公用品,夾子及其配件,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",小型箱子,2009/1/4,,
9286,2011/4/3,張玉,中級,26,123.16,0.1,火車,45.79,4.98,0.8,華東,山東,萊蕪,辦公用品,紙張,Rediform S.O.S. Phone Message Books,打包紙袋,2011/4/5,,
9312,2012/5/18,許磊,其它,43,1160.55,0.05,大卡,-179.17,25.98,14.36,華南,廣東,佛山,傢俱產品,椅子,"Global Stack Chair without Arms, Black",巨型木箱,2012/5/19,,
9344,2011/12/6,邱曉文,低級,18,1733.1,0.09,火車,-505.69,95.99,35,華南,海南,海口,辦公用品,容器，箱子,Safco Industrial Wire Shelving,大型箱子,2011/12/8,,
9344,2011/12/6,邱曉文,低級,31,3448.6455,0.02,火車,900.41,125.99,8.99,華北,內蒙古,包頭,技術產品,電話通信產品,SC7868i,小型箱子,2011/12/6,,
9347,2012/8/9,郎雨生,低級,31,131.2,0.01,火車,-107.98,3.95,5.13,華北,河北,唐山,辦公用品,家用電器,"Hoover Replacement Belts For Soft Guard™ & Commercial Ltweight Upright Vacs, 2/Pk",小型箱子,2012/8/18,,
9350,2012/10/31,高瑞光,中級,13,1735.94,0.1,大卡,-432.54,140.98,53.48,華北,山西,陽泉,傢俱產品,書架,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",巨型紙箱,2012/11/1,,
9350,2012/10/31,高瑞光,中級,2,337.6,0.1,火車,-210.78,172.99,19.99,東北,吉林,吉林,傢俱產品,辦公裝飾品,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",中型箱子,2012/11/2,,
9383,2009/3/16,黃紫嫣,其它,11,82.42,0.07,火車,18.53,7.59,4,東北,遼寧,撫順,傢俱產品,辦公裝飾品,"Master Giant Foot® Doorstop, Safety Yellow",打包紙袋,2009/3/18,,
9409,2012/5/5,侯月明,中級,12,1712.66,0.1,火車,-390.77,152.48,4,東北,遼寧,撫順,技術產品,電腦配件,Adesso Programmable 142-Key Keyboard,小型箱子,2012/5/7,,
9472,2011/6/16,趙瑛傑,中級,17,53.91,0.05,火車,19.47,3.15,0.49,東北,吉林,吉林,辦公用品,標籤,Self-Adhesive Removable Labels,小型箱子,2011/6/19,,
9473,2012/10/11,何春梅,其它,3,31.95,0.1,火車,-23.69,8.04,8.94,東北,遼寧,撫順,辦公用品,夾子及其配件,"Fellowes Twister Kit, Gray/Clear, 3/pkg",小型箱子,2012/10/13,,
9473,2012/10/11,何春梅,其它,34,563.82,0.03,火車,188.22,16.51,2.99,東北,吉林,吉林,辦公用品,夾子及其配件,JM Magazine Binder,小型箱子,2012/10/12,,
9473,2012/10/11,何春梅,其它,31,502.44,0.04,火車,-363.44,15.51,17.78,東北,黑龍江,鶴崗,辦公用品,容器，箱子,"Tenex File Box, Personal Filing Tote with Lid, Black",小型箱子,2012/10/13,,
9476,2009/5/25,王勇民,其它,10,165.04,0.08,空運,-66.59,15.99,13.18,華南,河南,駐馬店,辦公用品,夾子及其配件,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",小型箱子,2009/5/27,,
9478,2009/3/28,景瓏,高級,48,522.97,0.04,火車,29.98,10.4,5.4,華南,海南,海口,傢俱產品,辦公裝飾品,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",小型包裹,2009/3/29,,
9478,2009/3/28,景瓏,高級,48,199.46,0.08,火車,-121.20,4.28,4.79,華南,河南,駐馬店,辦公用品,紙張,Xerox 1962,小型箱子,2009/3/30,,
9504,2012/11/25,武磊,中級,17,1954.796,0.05,火車,98.35,140.99,4.2,華南,湖北,十堰,技術產品,電話通信產品,7160,小型箱子,2012/11/27,,
9505,2012/6/7,孟子祥,高級,2,316.52,0.03,火車,-542.32,152.48,4,華南,廣西,桂林,技術產品,電腦配件,Adesso Programmable 142-Key Keyboard,小型箱子,2012/6/9,,
9505,2012/6/7,孟子祥,高級,5,155.39,0.1,火車,-127.70,32.98,5.5,華南,廣西,桂林,技術產品,電腦配件,PC Concepts 116 Key Quantum 3000 Keyboard,小型箱子,2012/6/10,,
9509,2012/10/7,楊玲,其它,36,12175.82,0.02,大卡,2825.15,320.98,58.95,華南,河南,駐馬店,傢俱產品,椅子,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,巨型木箱,2012/10/8,,
9509,2012/10/7,楊玲,其它,5,101.21,0.1,空運,2.13,18.97,5.21,華南,河南,駐馬店,辦公用品,紙張,Xerox 1887,小型箱子,2012/10/8,,
9509,2012/10/7,楊玲,其它,32,1585.64,0.02,火車,707.15,48.91,5.81,華北,北京,北京,辦公用品,紙張,Xerox 1891,小型箱子,2012/10/7,,
9537,2011/2/13,王然山,其它,6,906.02,0.1,大卡,-382.38,150.98,66.27,華北,天津,天津,傢俱產品,書架,Bush Mission Pointe Library,巨型紙箱,2011/2/15,,
